Allemagne;Berlin;891,8;82;6
Autriche;Vienne;414,6;8;2
Belgique;Bruxelles;32,61;11;2
Danemark;Copenhague;88,25;5;2
Espagne;Madrid;604,3;45;4
Estonie;Tallinn;159,3;1;2
Finlande;Helsinki;213,8;5;2
France;Paris;105,4;63;2
Grèce;Athènes;2929;11;7
Hongrie;Budapest;525,2;10;4
Italie;Rome;1285;57;7
Lettonie;Riga;304;2;2
Lituanie;Vilnius;401;3;2
Luxembourg;Luxembourg;51,46;0;2
Pays-Bas;Amsterdam;219,3;16;2
Pologne;Varsovie;517,2;38;4
Portugal;Lisbonne;100;10;2
République tchèque;Prague;496;10;4
Slovaquie;Bratislava;367,6;5;2
Slovènie;Ljubljana;163,8;1;2
Suède;Stockholm;188;9;2
Suisse;Berne;51,6;;2
Liechtenstein;Vaduz;17,3;;2
Norvege;Oslo;454;;4
